0.10,1.20,0.25005043,0.00003310,0.49748260,0.00004536,0.74753303,0.00007400
0.20,1.20,0.24998284,0.00003803,0.48979434,0.00004993,0.73977718,0.00008496
0.30,1.20,0.25013447,0.00002534,0.47717196,0.00003644,0.72730643,0.00005255
0.40,1.20,0.25041744,0.00002745,0.45938560,0.00004841,0.70980303,0.00007217
0.50,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.60,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.70,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.80,1.20,NaN,NaN,NaN,NaN,NaN,NaN
0.90,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.00,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.20,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.50,1.20,NaN,NaN,NaN,NaN,NaN,NaN
1.80,1.20,NaN,NaN,NaN,NaN,NaN,NaN
